,txt,sentiment,num_of_words
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28
852,don't read this book!!: this book sux! who cares about pearl anyways! someone shoot me in the head before i die of boredom!!!,0,23
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26
1654,"sad: what happened to the amazing charlie mars from like a bird, like a plane?? that was an incredible haunting deep pleasing album. this is not :(",0,27
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26
2833,"dark moon: not what i expected, the first transformers was the best. the special effects was great but acting was not, too bad.",0,23
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28
3101,":0( booo!: first the acting was so so so bad the movie, this is what i have to say ?but they get e for effort.",0,25
3264,white suspenders: the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!,0,27
3412,"not what i expected: i purchased this for my granddaughter, we love reading together. the print was way to small and no way to make it bigger.",0,27
3514,"trite, simple, unimaginative: what more can i say? the mule? give me a break. how can anyone consider this to be great fiction? go read something else....",0,27
3557,"poorly written: this novel has a lot of ideas that do not fit together. the science, characters, and society are not memorable.",0,22
3644,"bad isn't fitting: can not believe i watched the whole movie, i kept hoping it could get better. never did get any better, only worse",0,25
3646,"worst movie ever!: horrible movie, worst i have ever seen! nick cage's career is definitely over if it wasn't before this piece of garbage!",0,24
3662,"""this movie is awful"": there is no words to describe this movie! all i can say this movie sucks and it was awful!",0,23
3975,"have not received my item in a month.: my order was placed on august 28, but i have not received the printer in a month.",0,25
4122,bad product: this is not worth the price. used it once and had to re-inflate it five times. does not hold air. a piece of junk.,0,26
4144,leaked first day for my guest: it had a leak from day one. return and exchange process was very good though. still waiting on the new one,0,27
4176,"not waterproof!: it's not water proof and it rusts on the inside. the turning head is a nice feature, but i don't think i really needed it.",0,27
4247,"broken: i received this product in the mail yesterday, put in the batteries and the rotating beads do not work. complete waste of money.",0,24
4262,"buy something else: the dvd is a documentory, alot of talking and very little music. i thought it was them in concert. too much talking",0,25
4448,"cheap quality: not as described, the material is cheap looking and does not feel soft on the skin. was dissapointed of the quality and packaging.",0,25
4455,"color selection.: i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!",0,26
4530,very poor: would not buy it.not worth the money.did not tell me all the things that i could see in the cities.would not recommend to anyone.,0,26
4640,do not buy this scanner: absolutely the worst software for flatbed scanner i have ever encountered. scan is slow and softcover lousy. don't buy,0,24
4653,did not like: just not my type of book. very boring but i got through it. hard to stick with it until the end.,0,24
4660,bad quality: installation and use was easy and good. but the quality of the product was really bad and it was going loose and stopped working in between.,0,28
4702,"summer-estate: anyone who hears this song and isn't mesmerized, then haunted, is deaf. i heard it in my car and almost wrecked. the most beautiful!",0,25
4946,"huh?: i get the idea to be clear and to the point. but this was outdated before it was written, a real basic book,kids should read it once",0,28
5282,"van damme's a bad guy ?: i would say the plot is good, but the action and fighting scenes are not in favour for action-movie goers.",0,26
5327,under the tuscan sun: to be honest i expected a little more from the movie. it was too mellow and somewhat boring.,0,22
5440,"i have get my order: i never got the battery and im still waiting on it, i want to know whats going to happen cause im still waiting",0,28
58,"hunting the hard way: thia was a gift for my husband, who loved the book. it arrived on the date we were told it would.",1,25
84,voices from the farm: i have a copy of this book and love it and can't wait til the revised version comes out in a few weeks,1,27
100,textbook: book shipped quickly and was in excellent condition as stated. easy transaction would buy again,1,16
135,great graphics!: 2006 coast to coast for pc is great! the graphics are awesome... the game is what i had hoped for and a lot more!!,1,26
243,it was great!!!: i like it. it was very cool to read about vampires and other legendary cratures of the night.,1,21
250,nifty: it is very convenient to have the charging cable available without having the cord all over the place in the way. works well too.,1,25
251,grandson enjoyed maybe 20 times!: fine. boys and the toys or trains i forget how many times kids can watch a movie and then watch it again,1,27
269,"dockers do the job.: this product was just what i was hoping for, and i had no problem with shipping. i highly recommend this product.",1,25
334,awesome: this is probably the best essay i have ever read. it has defined my political reviews still today. it's a work of true romanticism.,1,25
352,"amazing: i loved this book. heart pounding romance and action, keep you going though the whole storie. i say this is a must read!",1,24
370,"good deal and fast shipping: i bought this book used and it was in very good condition. also, i received it within a week, which was nice.",1,27
373,love scarpetta: you have to love the scarpetta series by cornwell. this is an excellent story full of suspense and humor.,1,21
414,gift: i bought this for a christmas present for my son. it arrived in perfect condition. he loves adam sandler and collects all his movies.,1,25
446,good value: i love curve and this is a large bottle which make is a very good value. highly recommended.,1,20
538,tmnt soundtrack: i love the songs on this cd. some of the songs make me want to run fast and punch stuff.,1,22
558,"great!: i enjoyed this waist cincher! it corrects my posture, and makes me look slimmer!however, i think it stretched out a bit... or i lost some inches!",1,27
601,"squeem: i like it because it came as i was expecting that , and really helped to save money compare to other stores",1,23
641,squeem: love this product. i wear it when i am doing my cardio to help with weight loss. it is true to size.,1,23
659,very good: this product is awesome. it hide all your secrets. i would recommend this product to all women and men. i will buy product again.,1,26
660,"it worked for me..: thought this was not going to fit because i am a 44"" currently and i only ordered xl.. like it very much",1,26
668,awesome!: this cd is amazing. i am very sad that 107.7 the x in birmingham is no longer. they made a great cd to benefit a great cause.,1,28
750,love it: book is a great read. intriguing from start to finish. cant find anything wrong to say. would reccomend for beginer to advanced readers.,1,25
752,"a classic: i loved this book in high school, and i love it now. a tale of a strong woman that doesn't let society bring her down.",1,27
757,"it's great.: this is the great and very interesting book to read.so for your great experience, pls. try it as soon. :-)",1,22
771,wonderful classic: i enjoy this book very much. it is a timely classic with which i am happy to now have my own copy.,1,24
778,classic tale: loved this book as well. the movies as always stray from the book- i was pleasantly surprised and taken in by all the characters.,1,26
880,a book value: the classic book that is read by virtually every high school student in america ; and at a bargian price,1,23
1054,"good. kind of corny.: good book, kind of corny (who am i kidding, it was real corny after the first half). i like it.",1,24
1072,a charlie brown christmas [vhs]: this product completely fulfills my requirements for its ease of use. it provides the accuracy i require. it is entirely recommendable.,1,26
1090,great christmas classic: i loved this movie as a kid and still enjoy it. with the remastered deluxe edition the color is great.,1,23
1092,good movie: this is a classic and always good. i used it for my students in class as charlie brown never goes out of style.,1,25
1112,clean: excellent copy and shipped fast. this is one of the books that i have been waiting to read. clean book.,1,21
1309,"great product: i am so happy with this product. my drawers stay neat, clean and most umpotantly organized - i can find everything quickly.",1,24
1310,plain and simple: a women's journey to the amish: this book arrived in a short amount of time and was in very good condition,1,24
1379,nice print: a bit small then i would like but it was nice. got it for my son's history class and it worked out great,1,25
1419,"dolly parton - the grass is blue: this is a great cd, especially if you like bluegrass music and dolly parton. what a fantastic combination!",1,25
1452,i liked it: i love the way elizabeth winthrop describes his emotions about mrs. phillips leaving. it was exiting and i couldn't put it down!,1,25
1479,welcome to 1059 baseball!: this is a great book that will give you insight on what major league baseball was really like in the late 50's,1,26
1525,fast and in good shape: it came to me pretty fast and was in good shape when i opened it. very happy with it. thanks,1,25
1689,just what i was looking for!: i was looking for a simple set of fireplace tools and this is just what i needed and fairly priced.,1,26
1729,"outrageously funny: this book is laugh-out-loud funny, a great read and romantic enough to keep me turning the pages. i couldn't put it down!",1,24
1783,gun digest: the book was bought as a gift for my brother. he likes it and we were very pleased with speed of delivery and service.,1,26
1789,excellent product: i used this for taping while we were opening gifts for christmas. the remote features are great. this product makes video recording easy and fun.,1,27
1806,ninnia: this monitor is great. the service i got when i order was fast and great. i would order again.,1,20
1897,the knowledge of healing: a good video but it did not have enough information that i could use with my clients.a helpful overview of what is possible,1,27
1951,"great find: after long search for translation of montale's poems, this bilingual edition was perfect. book was in perfect condition and arrived at exactly the announced date.",1,27
1982,awesome costume: this is a great costume. all the extra pieces make it really great. this is one of our favorite costumes.,1,22
2107,"great value: i got this for 40 something dollars and it was a great vale for my pocket, plus the great pic quality",1,23
2116,spider-man - the motion picture dvd triology: this item was a gift and i am basing my review on the three movies which i have seen.,1,26
2140,good: good why would i want to keep writing writing and writing while all i wanted to say is good. strange.,1,21
