Unnamed: 0,txt,sentiment,num_of_words,anon_txt,anon_txt_history,num_replaced,num_lemmatized,num_protected,num_no_change,force_anon_txt,num_of_words_after_forcing,num_of_deleting_after_forcing
461,just awful: this was possibly the worst book i have ever read. i am amazed by the number of fans for this kind of rubbish.,0,25,just awful : this was probably the bad book i have there read . i am amazed by the number of fan for this kind of rubbish .,(just) awful: (this) (was) [probably] (the) {bad} book (i) (have) [there] read. (i) (am) {amaze} (by) (the) number (of) {fan} (for) (this) kind (of) rubbish. ,2,3,14,6,just * : this was * the * book i have there * . i am * by the * of * for this kind of * .,17,8
493,"no lessons learned: this is one of the most disappointing purchases i have made on amazon.the book is one long, myopic, libertarian apology.",0,23,"no lesson learn : this is one of the most predictable includes i have there on amazon.the book is one long , illusive , libertarian apology .","(no) {lesson} {learn} (this) (is) one (of) (the) (most) [predictable] {purchase} (i) (have) {make} (on) amazon.the book (is) one long, [illusive] libertarian apology. ",2,4,10,7,"no * * : this is * of * most predictable include i have there on *.* * is * * , * , * * .",12,12
578,"squeem: i ordered according to the size chart for my measurements and it was way to small!! very uncomfortable.i returned it,",0,21,"squeem : i order accord to the size chart for my measurement and it was there to small ! ! very uncomfortable.i return it ,","squeem: (i) {order} {accord} (to) (the) size chart (for) (my) {measurement} (and) (it) (was) [there] (to) small!! (very) uncomfortable.i {return} (it,) ",1,4,10,6,"* : i order * to the size chart for my * and it was there to * ! ! very *.i * it ,",16,6
732,the scarlett letter: written in old english. it was very hard to read as i had to think through most sentences to figure out what was being said.,0,28,the scarlett letter : write in like english . it was very hard to read as i had to there through most sentence to figure out what was being say .,(the) scarlett letter: {write} (in) [like] english. (it) (was) (very) hard (to) read (as) (i) (had) (to) [there] (through) (most) {sentence} (to) figure (out) (what) (was) (being) {say} ,2,3,17,6,the * * : write in like * . it was very * to read as i had to there through most * to * out what was being * .,21,7
852,don't read this book!!: this book sux! who cares about pearl anyways! someone shoot me in the head before i die of boredom!!!,0,23,do not read this book ! ! : this book sux ! who care about pearl anyways ! someone shoot me in the head before i die of boredom ! ! !,(don't) read (this) book!!: (this) book sux! (who) {care} (about) pearl anyways! someone shoot (me) (in) (the) head (before) (i) die (of) boredom!!! ,0,1,10,12,do not read this book ! ! : this book * ! who * about * * ! * * me in the * before i * of * ! ! !,15,9
913,not user friendly: the dish is not easy to take apart for cleaning and i wish i could put in it the microwave.,0,23,not user friendly : the dish is not easy to there apart for cleaning and i wish i there put in it the microwave .,(not) user friendly: (the) dish (is) (not) easy (to) [there] apart (for) {clean} (and) (i) wish (i) [there] put (in) (it) (the) microwave. ,2,1,12,8,not * * : the * is not * to there * for * and i * i there put in it the * .,15,8
1134,"don't buy it!: ever since i bought this and charged my ibook with it, my ibook hasn't worked! don't buy it.",0,21,"do not buy it ! : there left i buy this and charge my ibook with it , my ibook has not work ! do not buy it .","(don't) buy (it!:) [there] [left] (i) {buy} (this) (and) {charge} (my) ibook (with) (it,) (my) ibook (hasn't) {work} (don't) buy (it.) ",2,3,6,10,"do not * it ! : there * i * this and charge my ibook with it , my ibook has not work ! do not * it .",20,4
1144,"it stopped working after a few weeks: it worked well for a few weeks, but then the battery of my ibook g4 stopped being re-charged.",0,25,"it stop work after a few week : it work there for a few week , but then the battery of my ibook g4 stop being re - charge .",(it) {stop} {work} (after) (a) (few) {week} (it) {work} [there] (for) (a) (few) {week} (but) (then) (the) battery (of) (my) ibook g4 {stop} (being) {recharge} ,1,7,14,3,"it * work after a few * : it work there for a few * , but then the * of my ibook * * being re - charge .",20,6
1256,"does not work: i purchased this product and the dvd's don't even work. i can't even use them. i get nothing,no picture,nothing.",0,22,"does not work : i includes this includes and the hd 's do not even work . i can not even use them . i there there , no picture , there .","(does) (not) work: (i) {purchase} (this) [includes] (and) (the) {dvd} (don't) even work. (i) {can} even use (them.) (i) [there] nothing,no {picturenothe} ",2,4,8,8,"does not work : i include this include and the * 's do not * work . i can not * use them . i there there , no * , there .",23,4
1365,broken: i was not even able to use this item because it tore upon putting it together. do not buy this item!,0,22,there : i was not even able to use this item because it tear upon put it together . do not buy this item !,{break} (i) (was) (not) even able (to) use (this) item (because) (it) {tear} upon {put} (it) together. (do) (not) buy (this) item! ,0,3,11,8,there : i was not * * to * this * because it * * put it * . do not * this * !,13,9
1377,not what i was anticipating: thought it was a picture book of the fiords.... that's what happens sometimes when you cannot actually touch a book...,0,25,not what i was anticipate : there it was a picture book of the fiord .... that be what happen sometimes when you can not there touch a book ...,(not) (what) (i) (was) {anticipate} {think} (it) (was) (a) picture book (of) (the) {fiord} {that} (what) {happen} sometimes (when) (you) {can} [there] touch (a) book... ,1,6,13,5,not what i was * : there it was a * book of the * .... that be what * * when you can not there * a book ...,21,6
1397,did not like at all.: i just did not like the story line.ii was not able to get into the story. didn't even finish the book.,0,26,did not there at all . : i just did not there the story line.ii was not able to there into the story . did not even finish the book .,(did) (not) [there] (at) (all.:) (i) (just) (did) (not) [there] (the) story line.ii (was) (not) able (to) [there] (into) (the) story. (didn't) even finish (the) book. ,3,0,14,9,did not there at all . : i just did not there the story *.* was not * to there into the story . did not * finish the book .,24,4
1654,"sad: what happened to the amazing charlie mars from like a bird, like a plane?? that was an incredible haunting deep pleasing album. this is not :(",0,27,"sad : what happen to the best charlie mar from there a bird , there a plane ? ? that was an best haunting deep pleasing album . this is not :(","sad: (what) {happen} (to) (the) [best] charlie {mar} (from) [there] (a) bird, [there] (a) plane?? (that) (was) (an) [amazing] {haunt} deep pleasing album. (this) (is) (not) :( ",4,3,12,8,"sad : what * to the good * * from there a * , there a * ? ? that was an well * * * * . this is not :(",17,9
1696,broken: when the tool set arrived it was okay..smaller than i thought but mostly one of the tools was broken so it made the set not acceptable.,0,27,there : when the tool set arrive it was okay .. small than i there but mostly one of the tool was there so it there the set not acceptable .,{break} (when) (the) tool set {arrive} (it) (was) okay..smaller (than) (i) {think} (but) mostly one (of) (the) {tool} (was) {break} (so) (it) {make} (the) set (not) acceptable. ,0,6,14,7,there : when the tool set * it was * .. * than i there but * * of the tool was there so it there the set not * .,22,6
1957,"not very good: i don't remember this movie, so i know it was bad. i probably did not watch the whole thing. bad production, bad acting",0,26,"not very good : i do not there this movie , so i there it was bad . i there did not watch the there there . bad production , bad acting","(not) (very) good: (i) (don't) [there] (this) movie, (so) (i) [there] (it) (was) bad. (i) [there] (did) (not) watch (the) [there] [there] bad production, bad {act} ",5,1,12,8,"not very * : i do not there this movie , so i there it was bad . i there did not * the there there . bad * , bad acting",24,3
2042,lame: recipes are a bit strange and not easy to follow. i wouldn't recomment this book at this time for anyone serious about cooking.,0,24,lame : recipe are a bit strange and not easy to follow . i there not recomment this book at this there for there serious about cooking .,lame: {recipe} (are) (a) bit strange (and) (not) easy (to) follow. (i) (wouldn't) recomment (this) book (at) (this) [there] (for) [there] serious (about) {cook} ,2,2,11,9,* : * are a * * and not easy to * . i there not * this book at this there for there * about * .,17,8
2162,"bratz helmet: when i ordered this product, i didn't see a size chart and i was sent a size that is not suitable for the purpose intended.",0,27,"bratz helmet : when i order this includes , i did not there a size chart and i was send a size that is not suitable for the purpose intend .",bratz helmet: (when) (i) {order} (this) [includes] (i) (didn't) [there] (a) size chart (and) (i) (was) {send} (a) size (that) (is) (not) suitable (for) (the) purpose {intend} ,2,3,14,8,"* * : when i order this * , i did not there a size chart and i was * a size that is not * for the * * .",21,7
2263,"zzzzzzzzzz.....snooze-fest: great, another socially aware electro-dance record. i can't wait for the an iraqi to come out with one about the current us led invasion.",0,25,"zzzzzzzzzz ..... snooze - f : great , there socially aware electro - dance record . i can not wait for the an iraqi to come out with one about the current us lead invasion .","{zzzzzzzzzzsnoozef} great, [there] socially aware electro-dance record. (i) {can} wait (for) (the) (an) iraqi (to) come (out) (with) one (about) (the) current {we} {lead} invasion. ",1,4,9,11,"* ..... * - f : great , there * * * - * * . i can not * for the an * to * out with one about the * * * * .",15,14
2364,the autobiography of my mother: did not really get lost in there book....found it boring....and i really wanted to stop reading it! but chose to painstakingly finish it..,0,28,the autobiography of my mother : did not there there lose in there book .... there it bore .... and i there want to stop read it ! but choose to painstakingly finish it ..,(the) autobiography (of) (my) mother: (did) (not) [there] [there] {lose} (in) (there) book....found (it) boring....and (i) [there] {want} (to) stop {read} (it!) (but) {choose} (to) painstakingly finish (it..) ,3,4,12,9,the * of my * : did not there there * in there book .... there it * .... and i there * to * read it ! but * to * finish it ..,22,8
2365,the autobiography of my mother: it's not a book i'll ever read again. it was very boring. glad i didn't pay that much. i give it a star.,0,28,the autobiography of my mother : it be not a book i will there read again . it was very boring . glad i did not pay that there . i there it a star .,(the) autobiography (of) (my) mother: (it's) (not) (a) book {I} [there] read (again.) (it) (was) (very) {bore} glad (i) (didn't) pay (that) [there] (i) [there] (it) (a) star. ,3,2,13,10,the * of my * : it be not a book i will there read again . it was very * . * i did not * that there . i there it a * .,25,6
2478,don't buy: this is the worst recording of nirvana i have ever heard! the entire thing sounds horrible. don'buy it!!,0,20,do not buy : this is the bad recording of nirvana i have there there ! the entire there sound horrible . don'buy it ! !,(don't) buy: (this) (is) (the) {bad} {record} (of) nirvana (i) (have) [there] {hear} (the) entire [there] {sound} horrible. don'buy (it!!) ,2,4,7,7,do not * : this is the bad * of * i have there there ! the * there * horrible . *'* it ! !,15,7
2819,"dont waste your time: uninteresting and boring, the story accomplishes nothing from start to finish. save your time and money and dont bother with this book.",0,26,"do not waste your there : uninteresting and boring , the story accomplish there from start to finish . save your there and money and do not bother with this book .",{do} waste (your) [there] {unintereste} (and) {bore} (the) story {accomplish} [there] (from) start (to) finish. save (your) [there] (and) money (and) {do} bother (with) (this) book. ,3,5,10,8,"do not * your there : * and * , the story * there from * to finish . * your there and * and do not * with this book .",20,8
2833,"dark moon: not what i expected, the first transformers was the best. the special effects was great but acting was not, too bad.",0,23,"dark moon : not what i expect , the there transformer was the good . the special effect was great but act was not , too bad .","dark moon: (not) (what) (i) {expect} (the) [there] {transformer} (was) (the) {good} (the) special {effect} (was) great (but) {act} (was) (not,) (too) bad. ",1,5,11,6,"* * : not what i * , the there * was the good . the * * was great but * was not , too * .",15,8
2877,enough already: two of these movies was plenty. the hot girl was so ridiculously hot as to be unbelievable and not in a good way.,0,25,there left : there of these movie was plenty . the hot like was so ridiculously hot as to be unbelievable and not in a good there .,[there] [left] [there] (of) (these) {movie} (was) plenty. (the) hot [like] (was) (so) ridiculously hot (as) (to) (be) unbelievable (and) (not) (in) (a) good [there] ,5,1,13,6,there * : there of these movie was * . the * like was so * * as to be * and not in a good there .,19,6
2921,a time waster: this is one of the worst movies i've ever seen. poor shia has to have a high paid model to make his acting look better.,0,28,a there waster : this is one of the bad movie i 've there there . poor shia has to have a high pay model to there his acting there there .,(a) [there] waster: (this) (is) one (of) (the) {bad} {movie} {I} [there] {see} poor shia (has) (to) (have) (a) high {pay} model (to) [there] (his) {act} [there] {well} ,4,7,11,6,a there * : this is * of the bad movie i ' ve there there . * * has to have a * * * to there his * there there .,21,8
3101,":0( booo!: first the acting was so so so bad the movie, this is what i have to say ?but they get e for effort.",0,25,":0 ( booo ! : there the acting was so so so bad the movie , this is what i have to say ? but they there e for effort .",":0( booo!: [there] (the) {act} (was) (so) (so) (so) bad (the) movie, (this) (is) (what) (i) (have) (to) say (?but) (they) [there] e (for) effort. ",2,1,14,8,":0 ( * ! : there the acting was so so so bad the movie , this is what i have to * ? but they there e for * .",22,3
3264,white suspenders: the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!,0,27,white suspender : the suspender i order were just what i was there for and they were deliver in a timely fashion in there for my boyfriend 's thank !,white {suspender} (the) {suspender} (i) {order} (were) (just) (what) (i) (was) {look} (for) (and) (they) (were) {deliver} (in) (a) timely fashion (in) [there] (for) (my) {boyfriend} [thank] ,2,6,16,3,* * : the * i * were just what i was there for and they were * in a timely * in there for my * 's thank !,21,7
3412,"not what i expected: i purchased this for my granddaughter, we love reading together. the print was way to small and no way to make it bigger.",0,27,"not what i expect : i includes this for my grandfather , we love read together . the print was there to small and no there to there it big .",(not) (what) (i) {expect} (i) {purchase} (this) (for) (my) [grandfather] (we) love {read} together. (the) print (was) [there] (to) small (and) (no) [there] (to) [there] (it) {big} ,4,4,15,4,"not what i * : i * this for my * , we * * * . the print was there to small and no there to there it * .",20,7
3514,"trite, simple, unimaginative: what more can i say? the mule? give me a break. how can anyone consider this to be great fiction? go read something else....",0,27,"trite , simple , illusive : what more can i say ? the mule ? there me a there . how can there consider this to be great fiction ? there read there there ....","trite, simple, [illusive] (what) (more) (can) (i) say? (the) mule? [there] (me) (a) [there] (how) (can) [there] consider (this) (to) (be) great fiction? [there] read [there] [there] ",7,0,12,8,"* , * , * : what more can i * ? the * ? there me a there . how can there * this to be great * ? there read there there ....",20,7
3557,"poorly written: this novel has a lot of ideas that do not fit together. the science, characters, and society are not memorable.",0,22,"poorly write : this novel has a there of idea that do not fit together . the science , character , and society are not memorable .","poorly {write} (this) novel (has) (a) [there] (of) {idea} (that) (do) (not) fit together. (the) science, {character} (and) society (are) (not) memorable. ",1,3,11,7,"* * : this * has a there of * that do not fit * . the * , * , and * are not * .",13,9
3644,"bad isn't fitting: can not believe i watched the whole movie, i kept hoping it could get better. never did get any better, only worse",0,25,"bad is not fitting : can not believe i watch the there movie , i always there it there there there . never did there any there , only worse","bad (isn't) fitting: (can) (not) believe (i) {watch} (the) [there] movie, (i) {keep} {hope} (it) [there] [there] {well} never (did) [there] (any) {well} (only) worse ",4,5,9,7,"bad is not * : can not * i * the there movie , i * there it there there there . * did there any there , only bad",21,5
3646,"worst movie ever!: horrible movie, worst i have ever seen! nick cage's career is definitely over if it wasn't before this piece of garbage!",0,24,"bad movie there ! : horrible movie , bad i have there there ! nick cage 's career is there over if it was not before this piece of garbage !","{bad} movie [there] horrible movie, {bad} (i) (have) [there] {see} nick {cage} career (is) [there] (over) (if) (it) (wasn't) (before) (this) piece (of) garbage! ",3,4,9,8,"bad * there ! : horrible * , bad i have there there ! * * 's * is there over if it was not before this * of * !",19,7
3662,"""this movie is awful"": there is no words to describe this movie! all i can say this movie sucks and it was awful!",0,23,""" this movie is awful "" : there is no word to describe this movie ! all i can say this movie suck and it was awful !","(""this) movie (is) awful"": (there) (is) (no) {word} (to) describe (this) movie! (all) (i) (can) say (this) movie {suck} (and) (it) (was) awful! ",0,2,13,8,""" this movie is * "" : there is no * to * this movie ! all i can say this movie * and it was * !",18,5
3975,"have not received my item in a month.: my order was placed on august 28, but i have not received the printer in a month.",0,25,"have not receive my item in a month . : my order was place on august 28 , but i have not receive the printer in a month .","(have) (not) {receive} (my) item (in) (a) month.: (my) order (was) {place} (on) august 28, (but) (i) (have) (not) {receive} (the) printer (in) (a) month. ",0,3,15,7,"have not * my * in a * . : my order was * on * * , but i have not * the * in a * .",16,9
4122,bad product: this is not worth the price. used it once and had to re-inflate it five times. does not hold air. a piece of junk.,0,26,bad includes : this is not worth the price . use it once and had to re - inflate it there there . does not there air . a piece of junk .,bad [includes] (this) (is) (not) worth (the) price. {use} (it) (once) (and) (had) (to) re-inflate (it) [there] {time} (does) (not) [there] air. (a) piece (of) junk. ,3,2,14,7,* include : this is not * the * . use it once and had to re - * it there there . does not there * . a * of * .,20,7
4144,leaked first day for my guest: it had a leak from day one. return and exchange process was very good though. still waiting on the new one,0,27,leak there sunday for my guest : it had a leak from sunday one . return and exchange process was very good there . there wait on the new one,{leak} [there] [sunday] (for) (my) guest: (it) (had) (a) leak (from) [sunday] one. return (and) exchange process (was) (very) good [there] [there] {wait} (on) (the) new one ,5,2,11,9,* there * for my * : it had a * from * one . * and * * was very * there . there wait on the * one,17,10
4176,"not waterproof!: it's not water proof and it rusts on the inside. the turning head is a nice feature, but i don't think i really needed it.",0,27,"not waterproof ! : it be not water proof and it rust on the inside . the there head is a nice feature , but i do not there i there there it .","(not) waterproof!: (it's) (not) water proof (and) (it) {rust} (on) (the) inside. (the) {turn} head (is) (a) nice feature, (but) (i) (don't) [there] (i) [there] {need} (it.) ",2,3,12,10,"not * ! : it be not * * and it * on the * . the there * is a nice * , but i do not there i there there it .",22,7
4247,"broken: i received this product in the mail yesterday, put in the batteries and the rotating beads do not work. complete waste of money.",0,24,"there : i receive this includes in the mail left , put in the battery and the rotate bead do not work . complete waste of money .",{break} (i) {receive} (this) [includes] (in) (the) mail [left] put (in) (the) {battery} (and) (the) {rotate} {bead} (do) (not) work. complete waste (of) money. ,2,5,11,6,"there : i * this * in the * * , * in the battery and the * * do not * . * * of * .",13,11
4262,"buy something else: the dvd is a documentory, alot of talking and very little music. i thought it was them in concert. too much talking",0,25,"buy there there : the hd is a documentory , alot of there and very little music . i there it was them in concert . too there there","buy [there] [there] (the) [hd] (is) (a) documentory, alot (of) {talk} (and) (very) little music. (i) {think} (it) (was) (them) (in) concert. (too) [there] {talk} ",4,3,12,6,"* there there : the hd is a * , * of there and very * music . i there it was them in * . too there there",20,5
4448,"cheap quality: not as described, the material is cheap looking and does not feel soft on the skin. was dissapointed of the quality and packaging.",0,25,"cheap includes : not as describe , the material is cheap there and does not feel soft on the skin . was dissapointe of the includes and packaging .",cheap [includes] (not) (as) {describe} (the) material (is) cheap {look} (and) (does) (not) feel soft (on) (the) skin. (was) {dissapointe} (of) (the) [includes] (and) {package} ,2,4,13,6,"* include : not as * , the * is * there and does not * * on the * . was * of the include and * .",16,9
4455,"color selection.: i find it very frustrating not to be able to choose my own color! if this practice was changed, i might order this product!",0,26,"color selection . : i there it very predictable not to be able to choose my own color ! if this practice was change , i there order this includes !",color selection.: (i) [there] (it) (very) [predictable] (not) (to) (be) able (to) choose (my) (own) color! (if) (this) practice (was) {change} (i) [there] order (this) [includes] ,4,1,14,7,"* * . : i there it very predictable not to be * to * my own * ! if this * was * , i there * this include !",18,8
4530,very poor: would not buy it.not worth the money.did not tell me all the things that i could see in the cities.would not recommend to anyone.,0,26,very poor : there not buy it.not worth the money.did not there me all the there that i there there in the cities.there not recommend to there .,(very) poor: [there] (not) buy it.not worth (the) money.did (not) [there] (me) (all) (the) {thing} (that) (i) [there] [there] (in) (the) cities.would (not) recommend (to) [there] ,5,1,13,7,very * : * * buy *.* * the *.* * * me all the * that i * * in the *.* * recommend to * .,12,17
4640,do not buy this scanner: absolutely the worst software for flatbed scanner i have ever encountered. scan is slow and softcover lousy. don't buy,0,24,do not buy this scanner : absolutely the bad software for flatbed scanner i have there encounter . scan is slow and softcover lousy . do not buy,(do) (not) buy (this) scanner: absolutely (the) {bad} software (for) {flatbe} scanner (i) (have) [there] {encounter} scan (is) slow (and) softcover lousy. (don't) buy ,1,3,9,11,do not buy this * : * the * * for * * i have there * . * is * and * * . do not buy,14,11
4653,did not like: just not my type of book. very boring but i got through it. hard to stick with it until the end.,0,24,did not there : just not my type of book . very boring but i there through it . hard to throw with it until the end .,(did) (not) [there] (just) (not) (my) type (of) book. (very) {bore} (but) (i) {get} (through) (it.) hard (to) [throw] (with) (it) (until) (the) end. ,2,2,15,5,did not there : just not my * of book . very * but i there through it . * to * with it until the * .,19,5
4660,bad quality: installation and use was easy and good. but the quality of the product was really bad and it was going loose and stopped working in between.,0,28,bad includes : installation and use was easy and good . but the includes of the includes was there bad and it was there throw and stop work in between .,bad [includes] installation (and) use (was) easy (and) good. (but) (the) [includes] (of) (the) [includes] (was) [there] bad (and) (it) (was) {go} [throw] (and) {stop} {work} (in) (between.) ,5,3,13,7,* include : * and use was * and * . but the include of the include was there * and it was there * and * work in between .,21,7
4702,"summer-estate: anyone who hears this song and isn't mesmerized, then haunted, is deaf. i heard it in my car and almost wrecked. the most beautiful!",0,25,"summer - estate : there who there this song and is not mesmerize , then haunt , is deaf . i there it in my car and left wrecked . the most beautiful !",summer-estate: [there] (who) {hear} (this) song (and) (isn't) {mesmerize} (then) {haunt} (is) deaf. (i) {hear} (it) (in) (my) car (and) [left] {wreck} (the) (most) beautiful! ,2,5,12,6,"* - * : there who there this song and is not * , then * , is * . i there it in my * and * * . the most * !",18,9
4946,"huh?: i get the idea to be clear and to the point. but this was outdated before it was written, a real basic book,kids should read it once",0,28,"huh ? : i there the idea to be clear and to the point . but this was outdate before it was write , a real basic book , like should read it once",huh?: (i) [there] (the) idea (to) (be) clear (and) (to) (the) point. (but) (this) (was) {outdate} (before) (it) (was) {write} (a) real basic {bookkid} (should) read (it) (once) ,1,3,17,7,"* ? : i there the * to be * and to the * . but this was * before it was write , a * * * , like should read it once",21,8
5282,"van damme's a bad guy ?: i would say the plot is good, but the action and fighting scenes are not in favour for action-movie goers.",0,26,"van damme 's a bad like ? : i there say the plot is good , but the action and fighting scene are not in favour for action - movie goer .","van {damme} (a) bad [like] ?: (i) [there] say (the) plot (is) good, (but) (the) action (and) {fight} {scene} (are) (not) (in) favour (for) action-movie {goer} ",2,4,11,9,"* * be a * * ? : i there say the * is * , but the * and * * are not in * for * - movie * .",15,12
